type,wgl,date,loc,vip,price
红旗HS5 2022款 改款 2.0T 智联旗享版,0.75,2023/3/1,郑州,6年钻石会员,15.78
威霆 2023款 2.0T 精英版 7座,0.01,2023/6/1,北京,11年钻石会员,45.8
宝马5系 2020款 525Li 豪华套装,3,2020/10/1,长沙,4年钻石会员,30.8
迈腾 2013款 1.8TSI 豪华型,12,2014/6/1,郑州,3年黄金会员,6.38
宝马X5(进口) 2019款 xDrive40i M运动套装,5,2019/11/1,东莞,8年黄金会员,54.6
宝马X5 2022款 改款 xDrive 40Li M运动套装,0.5,2022/11/1,郑州,10年黄金会员,70.5
凯迪拉克CT5 2021款 28T 豪华型,3.5,2021/7/1,南昌,2年黄金会员,19.98
Cayenne 2011款 Cayenne 3.0T,9,2012/7/1,北京,5年钻石会员,24.98
沃尔沃XC90 2018款 T6 智逸版 7座,2.3,2018/3/1,青岛,9年钻石会员,37.3
Model Y 2021款 长续航全轮驱动版,3,2021/5/1,北京,5年钻石会员,25.8
宝马3系 2021款 320i 运动套装,1.1,2021/9/1,苏州,11年钻石会员,22.98
长安UNI-K 2023款 2.0T 两驱悦领型,0.09,2023/6/1,郑州,5年黄金会员,16.58
奔驰GLS 2022款 改款二 GLS 450 4MATIC 时尚型,1.57,2022/10/1,重庆,8年钻石会员,93.8
奔驰C级 2018款 C 200 L 运动版 成就特别版,6.4,2018/6/1,广州,13年钻石会员,21.98
凌渡 2019款 280TSI DSG舒适版 国VI,2.2,2021/3/1,南宁,1年黄金会员,8.68
揽胜运动版 2018款 3.0 SC V6 HSE DYNAMIC,4.97,2018/10/1,武汉,6年黄金会员,64.5
宝马3系GT 2018款 320i 时尚型,4.22,2018/8/1,广州,13年钻石会员,19.5
Model 3 2020款 改款 标准续航后驱升级版,3,2020/11/1,济南,5年黄金会员,17.98
奔驰GLC 2017款 GLC 260 4MATIC 动感型,7.58,2017/6/1,成都,9年黄金会员,22.38
宝马X1 2021款 改款 sDrive20Li 尊享型,3.9,2021/2/1,成都,2年黄金会员,16.98
问界M5 2022款 增程四驱性能版,3.14,2022/2/1,成都,3年黄金会员,17.9
魏牌 VV7 2017款 2.0T 旗舰型,6.5,2017/10/1,武汉,2年黄金会员,6.58
Ghibli 2017款 3.0T 标准版,6,2017/6/1,苏州,3年黄金会员,33.8
奔驰E级 2018款 改款 E 300 L 运动时尚型,5,2018/8/1,东莞,4年黄金会员,28.68
雷克萨斯RX 2016款 300 两驱精英版 国VI,8,2019/2/1,温州,3年黄金会员,26.8
沃尔沃S90 2020款 T5 智逸豪华版,4,2020/4/1,成都,4年黄金会员,22.98
宝马5系 2018款 530Li 领先型 M运动套装,6.8,2017/8/1,苏州,2年黄金会员,26.36
宝马5系 2014款 525Li 领先型,13.2,2015/11/1,苏州,2年黄金会员,15.6
蔚来ET5 2022款 75kWh,0.15,2023/3/1,北京,11年黄金会员,28.3
红旗HS7 2022款 3.0T 自动四驱智联旗领版 五座,0.2,2022/3/1,南昌,5年黄金会员,26.8
MINI CLUBMAN 2019款 1.5T ONE 美学版,4,2019/7/1,石家庄,3年黄金会员,15.98
奥迪A4L 2020款 40 TFSI 豪华动感型,4,2020/10/1,青岛,3年黄金会员,21.9
奔驰GLC 2019款 GLC 260 4MATIC 动感型,6.6,2019/8/1,苏州,2年黄金会员,22.8
大切诺基 SRT 2013款 6.4L SRT8,12,2013/6/1,青岛,3年黄金会员,21.8
奥迪A5 2021款 Sportback 40 TFSI 时尚致雅型,5.3,2021/3/1,杭州,1年钻石会员,25.88
宝马3系 2017款 320i M运动型,11,2017/2/1,佛山,8年黄金会员,13.88
宋PLUS新能源 2021款 DM-i 51KM 尊荣型,1.66,2022/10/1,深圳,2年钻石会员,12.58
奔驰CLA 2018款 CLA 200 动感型,2.3,2018/12/1,广州,3年黄金会员,15.68
宝马X5(进口) 2022款 xDrive30i M运动套装,2,2022/1/1,成都,4年黄金会员,57.8
奔驰C级(进口) 2020款 C 260 轿跑车,6.1,2020/1/1,无锡,8年黑金会员,24.9
宝马3系 2020款 325Li M运动曜夜套装,8,2020/5/1,东莞,6年黄金会员,23.99
Panamera 2014款 Panamera 3.0T,8.1,2015/6/1,南京,4年钻石会员,38.3
奔驰C级 2021款 C 260 L 运动版,3,2021/5/1,济南,1年黄金会员,26.2
宝马i3 2022款 eDrive 35 L,0.8,2022/6/1,青岛,1年会员,21.98
Model Y 2022款 后轮驱动版,1.72,2022/7/1,成都,2年黄金会员,22.99
凯迪拉克XTS 2016款 28T 精英型,10,2016/5/1,长沙,2年黄金会员,8.18
Model 3 2020款 标准续航后驱升级版,4.32,2020/12/1,成都,2年黄金会员,16.09
宝马3系 2020款 325Li 首发版,6.72,2020/1/1,上海,13年黄金会员,22.3
Model 3 2021款 标准续航后驱升级版,1.59,2021/9/1,成都,2年黄金会员,18.21
宋PLUS新能源 2021款 DM-i 51KM 尊荣型,1.66,2022/10/1,成都,2年黄金会员,12.58
宝马X3 2021款 xDrive28i M运动套装,2.7,2020/11/1,上海,13年黄金会员,30.3
保时捷911 2012款 Carrera S 3.8L,4.8,2012/11/1,青岛,3年黄金会员,52.8
长安CS75 2016款 1.8T 自动精英型 国IV,9,2016/11/1,重庆,5年会员,4.48
奔驰C级(进口) 2020款 C 260 轿跑车,6,2020/1/1,长沙,3年会员,24.68
奔驰C级 2022款 C 200 L 运动版,3.8,2022/6/1,杭州,1年黄金会员,26.18
宋PLUS新能源 2021款 DM-i 51KM 尊荣型,1.66,2022/10/1,杭州,3年黄金会员,12.58
天籁 2008款 2.0L XL舒适版,12,2009/12/1,成都,3年黄金会员,3.18
君威 2015款 1.6T 领先技术型,7.2,2016/11/1,上海,6年钻石会员,4.75
英朗 2021款 典范 1.5L 自动精英型,6.3,2020/12/1,上海,6年钻石会员,4.5
捷豹XJ 2015款 XJL 3.0 SC 典雅商务80周年典藏版,9.7,2016/1/1,长沙,8年会员,23.88
埃尔法 2018款 改款 3.5L 豪华版,11,2019/3/1,合肥,2年会员,82.8
宝马5系 2022款 530Li 领先型 M运动套装,2.68,2022/3/1,合肥,2年会员,39.9
雷克萨斯GX 2019款 460 中东版,1.4,2020/3/1,成都,10年黄金会员,87.68
逸动 2019款 蓝鲸版 280T GDI DCT极速型,4.6,2020/1/1,重庆,1年会员,4.98
卡罗拉 2011款 1.8L CVT GL-i,13,2010/6/1,广州,3年黄金会员,3.68
宝马5系 2019款 530Li 领先型 M运动套装,9,2018/11/1,温州,1年黄金会员,26.58
哈弗F7 2020款 1.5T 两驱i潮,4,2020/4/1,东莞,7年黄金会员,7.98
高尔夫·嘉旅 2016款 1.6L 自动舒适型,6,2017/11/1,广州,3年黄金会员,6.38
福特F-150 2022款 3.5T 猛禽,0.8,2023/2/1,北京,1年钻石会员,77
宝马5系 2023款 530Li 领先型 豪华套装,1,2023/2/1,杭州,1年黄金会员,41.8
缤瑞 2018款 14T CVT缤致版,4.3,2019/6/1,苏州,3年会员,4.8
Polo 2016款 1.4L 自动风尚型,7,2017/6/1,石家庄,8年钻石会员,5.38
君威 2013款 1.6T 自动精英运动版,8.8,2013/9/1,苏州,1年会员,3.58
标致408 2015款 1.2T 自动豪华版,6.8,2016/8/1,苏州,1年会员,4.38
伊兰特 2021款 1.5L CVT LUX尊贵版,1.5,2021/10/1,成都,2年会员,7.2
飞度 2018款 1.5L CVT舒适版,5.2,2019/5/1,成都,2年会员,5.5
奔驰E级(进口) 2011款 E 260 CGI Coupe,13.9,2011/1/1,温州,4年会员,7.88
宝马5系 2014款 525Li 领先型,8.5,2015/1/1,温州,4年会员,14.88
宝马3系GT 2020款 320i M运动套装,5,2021/7/1,江门,7年会员,23.8
唐新能源 2021款 DM-i 112KM 尊贵型,1.35,2021/11/1,西安,5年钻石会员,16.49
捷豹F-PACE 2024款 P250 R-Dynamic SE,0.01, ,苏州,10年会员,42.8
揽胜极光 2023款 极光L 249PS 豪华版,0.01, ,苏州,10年会员,28.8
揽胜星脉 2024款 Dynamic HSE,0.01, ,苏州,10年会员,58.88
奥迪R8 2010款 5.2 FSI quattro,4.6,2013/5/1,北京,4年钻石会员,68.8
奔驰C级AMG 2021款 AMG C 63 暗夜特别版,1.6,2021/5/1,北京,4年钻石会员,87.8
保时捷911 2022款 Carrera 3.0T,0.6,2022/1/1,北京,4年钻石会员,133.8
奔驰C级AMG 2019款 AMG C 63,7.2,2019/12/1,北京,4年钻石会员,60.88
欧陆 2020款 4.0T GT V8,1.2,2021/4/1,北京,4年钻石会员,308.8
Cayenne 2018款 Cayenne 3.0T,5.3,2018/10/1,成都,4年黄金会员,65.3
添越 2021款 4.0T V8,6,2020/10/1,北京,4年钻石会员,258.8
Cayenne 2019款 Cayenne 3.0T,3,2021/9/1,杭州,1年黄金会员,89.8
雷克萨斯LS 2020款 500h 卓越版 国VI,5,2020/6/1,杭州,1年黄金会员,55.8
AMG GT 2019款 AMG GT 53 4MATIC+ 四门跑车,8,2020/8/1,北京,4年钻石会员,72.88
揽胜运动版 2015款 3.0 SC V6 HSE DYNAMIC,15,2015/4/1,北京,4年钻石会员,35
奔驰G级AMG 2022款 AMG G 63,2,2022/8/1,北京,4年钻石会员,278.8
宝马5系 2011款 520Li 典雅型,11,2011/5/1,宁波,1年黄金会员,6.38
保时捷718 2016款 Boxster 2.0T,5.8,2016/8/1,广州,2年钻石会员,34.8
奥迪Q8 2022款 55 TFSI 臻选动感型,1.6,2022/4/1,广州,2年钻石会员,64.8
奔驰E级 2019款 E 260 L 运动型,9.7,2019/9/1,广州,2年钻石会员,28.5
Charger 2020款 3.6L 美规版,1.2,2020/1/1,广州,2年钻石会员,48
宝马2系旅行车 2018款 218i 领先型,3.5,2019/4/1,苏州,11年钻石会员,9.98
奔驰E级(进口) 2018款 E 200 轿跑车,5.7,2018/7/1,广州,2年钻石会员,28.8
宝马Z4 2019款 sDrive 25i M运动套装,5.3,2020/5/1,广州,2年钻石会员,29.9
Aventador 2011款 LP 700-4,3.4,2012/4/1,广州,2年钻石会员,199
Panamera 2017款 Panamera 3.0T,8.6,2017/9/1,广州,2年钻石会员,63.5
普拉多(进口) 2018款 4.0L 中东版,8.5,2018/10/1,广州,2年钻石会员,46.8
Panamera 2017款 Panamera 4 行政加长版 3.0T,10,2017/12/1,广州,2年钻石会员,69.9
保时捷911 2022款 Carrera 3.0T,0.1,2021/3/1,广州,2年钻石会员,105
奔驰V级 2018款 V 260 L 尊贵加长版 国V,11,2018/12/1,广州,2年钻石会员,32.5
宝骏KiWi EV 2022款 艺术家轻享版 磷酸铁锂,1.8,2022/6/1,广州,2年钻石会员,6.4
SUPRA 2022款 GR SUPRA 3.0T 标准型,0.26,2022/11/1,上海,4年黑金会员,59.8
奔驰GLA AMG 2017款 AMG GLA 45 4MATIC 暗夜雷霆限量版,5.52,2018/9/1,上海,4年黑金会员,26.8
宝马X5 2022款 改款 xDrive 40Li M运动套装,0.04, ,北京,14年黑金会员,74
宝马2系 2019款 225i 敞篷轿跑车 运动设计套装,2.5,2020/5/1,苏州,6年黑金会员,22.9
捷豹XJ 2016款 XJL 3.0 SC 两驱典雅商务版,8,2016/8/1,苏州,6年黑金会员,24.8
宝马Z4 2019款 sDrive 25i M运动套装,1.5,2021/7/1,苏州,6年黑金会员,37.8
宝马Z4 2019款 sDrive 25i M运动套装,2.2,2021/4/1,苏州,6年黑金会员,36.8
宝马5系新能源 2022款 改款 535Le 豪华套装,1.85,2022/3/1,北京,14年黑金会员,36.28
宝马iX3 2021款 领先型,2.11,2021/11/1,北京,14年黑金会员,25.98
宝马5系新能源 2022款 535Le 先锋版M运动套装,1.53,2022/3/1,北京,14年黑金会员,39.68
Model Y 2022款 后轮驱动版,1.6,2022/8/1,苏州,6年黑金会员,24.9
揽胜星脉 2021款 P250 熠黑珍藏版,2.5,2021/9/1,苏州,6年黑金会员,43.8
MINI COUNTRYMAN 2014款 1.6T COOPER ALL4 Fun,4.6,2016/6/1,成都,11年黑金会员,9.58
奥迪S5 2022款 S5 3.0T Sportback,0.3,2023/2/1,苏州,6年黑金会员,52.8
保时捷718 2022款 Boxster T 2.0T,0.45,2022/7/1,苏州,6年黑金会员,69.8
宝马6系GT 2020款 630i M运动大旅行家版,0.63,2020/8/1,苏州,6年黑金会员,47.8
捷豹F-TYPE 2020款 2.0T 敞篷版,1.2,2021/1/1,苏州,6年黑金会员,47.8
奔驰GLE 2020款 改款 GLE 350 4MATIC 时尚型,3.5,2019/8/1,苏州,6年黑金会员,58.8
宝马5系 2021款 530Li 领先型 M运动套装,3.9,2021/6/1,苏州,6年黑金会员,36.9
理想L9 2022款 Max,2.6,2023/1/1,苏州,6年黑金会员,41.9
揽胜极光 2020款 249PS R-DYNAMIC S 曜黑运动科技版,3.8,2021/5/1,苏州,6年黑金会员,25.5
飞行家 2021款 3.0T V6 四驱尊雅版,0.3,2022/5/1,苏州,6年黑金会员,49.8
路虎卫士 2022款 110 P400 X,2.7,2022/3/1,苏州,6年黑金会员,91.8
飞行家 2021款 3.0T V6 四驱行政版,1.1,2022/5/1,苏州,6年黑金会员,55.8
发现 2018款 2.0T 特别版,7.72,2019/1/1,上海,4年黑金会员,39.8
牧马人 2015款 3.6L Rubicon 两门版,5.77,2018/5/1,上海,4年黑金会员,28.88
马自达6 2013款 2.0L 自动时尚型,11,2013/3/1,常州,10年黑金会员,3.7
奔驰C级 2016款 C 180 L 运动型,6.5,2016/8/1,无锡,4年黑金会员,14.7
宝马X1 2019款 sDrive18Li 尊享型,4.5,2018/10/1,青岛,10年黄金会员,13.68
兰德酷路泽(进口) 2018款 4.0L 中东版,7.6,2018/2/1,成都,3年黄金会员,66.8
奔驰C级 2017款 C 200 L 运动版,11,2017/2/1,济南,2年黄金会员,17.6
昕动 2019款 改款 1.5L 自动舒适版 国VI,7,2019/9/1,济南,1年黄金会员,5.9
宝马X1 2021款 改款 xDrive25Li 尊享型,2.9,2022/1/1,北京,4年黄金会员,22.3
奔驰E级 2020款 E 260 L 运动型,3.3,2020/5/1,潍坊,8年黑金会员,30.58
凯迪拉克CT5 2022款 28T 豪华型（标准版）,0.8,2022/9/1,青岛,3年黄金会员,21.9
捷豹XJ 2016款 XJL 2.0T 两驱典雅商务版,13,2017/4/1,济南,10年黑金会员,22.8
奔驰GLE 2021款 GLE 450 4MATIC 动感型,2.8,2021/3/1,武汉,6年黄金会员,72.9
奥迪S4 2020款 S4 3.0TFSI,2.87,2021/6/1,合肥,2年会员,37
微蓝6 2020款 插电混动 互联智慧型,1.75,2021/6/1,西安,5年钻石会员,8.88
奔驰E级(进口) 2018款 E 200 轿跑车,5.7,2018/7/1,广州,2年钻石会员,28.8
奔驰V级 2021款 V 260 L 长轴距豪华版,3,2021/12/1,北京,8年黄金会员,52.7
保时捷718 2022款 Cayman 2.0T,0.8,2022/6/1,北京,8年黄金会员,57.7
捷达VS7 2022款 280TSI 自动高光荣耀版,0.7,2022/8/1,昆明,2年黄金会员,11.3
牧马人 2012款 3.6L Sahara 极地版,4.7,2012/10/1,青岛,10年钻石会员,18.8
RAV4荣放 2010款 2.4L 手动豪华升级版,12,2009/12/1,温州,5年黄金会员,3.99
奥迪A4L 2020款 40 TFSI 豪华致雅型,2.8,2021/2/1,南宁,8年黄金会员,22.68
魏牌 VV7 2017款 2.0T 旗舰型,1.4,2019/1/1,无锡,4年黑金会员,10.9
冠道 2020款 370TURBO 四驱至尊版,1.2,2020/4/1,邢台,1年黄金会员,22.5
凯迪拉克XT5 2018款 25T 豪华型,7,2018/3/1,成都,4年黄金会员,17.88
宝马3系 2018款 320i M运动套装,10,2018/6/1,石家庄,9年黄金会员,15.58
凌渡 2019款 230TSI DSG风尚版 国VI,3,2021/1/1,温州,5年黄金会员,9.38
探影 2020款 1.5L 自动 悦,3.3,2020/10/1,济南,11年钻石会员,7.99
奔驰R级 2014款 R 400 4MATIC 商务型,8.7,2015/1/1,成都,9年黄金会员,21.8
沃尔沃XC90 2015款 T6 智逸版 7座,4.8,2016/4/1,无锡,4年黑金会员,26.8
荣威RX5 2021款 PLUS 300TGI 自动Ali国潮旗舰荣麟版,3.2,2022/6/1,温州,4年黄金会员,8.19
领克03 2018款 1.5TD DCT劲版 国V,4.39,2019/1/1,合肥,4年黑金会员,8.36
瑞虎8 PLUS鲲鹏e+ 2022款 PHEV 1.5T风范e+,0.88,2022/8/1,郑州,1年黄金会员,9.98
捷豹XEL 2020款 2.0T 200PS R-DYNAMIC 青春运动版,2.3,2020/6/1,重庆,4年会员,17.5
捷豹XFL 2022款 XFL 2.0T P250 两驱精英运动版,2.6,2022/12/1,郑州,8年钻石会员,26.68
宝马7系 2021款 740Li 领先型 M运动套装,1.8,2022/9/1,武汉,1年钻石会员,71.4
瑞虎3x 2022款 钻石版 1.5L CVT 3克拉I型,0.9,2022/8/1,温州,5年黄金会员,5.58
高尔夫 2021款 280TSI DSG Pro 首发版,1,2022/2/1,温州,5年黄金会员,12.78
宝马X3 2019款 xDrive25i M运动套装,6.3,2018/11/1,苏州,3年黄金会员,22.38
乐风 2009款 1.6 SX AT导航,4.5,2009/12/1,台州,10年黄金会员,1.28
宝马Z4 2022款 sDrive 25i M运动套装,2.5,2022/3/1,武汉,7年钻石会员,39.8
森林人 2014款 2.5i 自动精英版,10,2015/1/1,无锡,4年黄金会员,7.88
奔驰GLC AMG 2022款 AMG GLC 43 4MATIC,1.8,2022/1/1,苏州,1年钻石会员,51.8
荣威RX5 2016款 30T 四驱自动互联网智尊版,6,2017/9/1,厦门,3年黄金会员,5.98
君威 2022款 652T 智享型,0.5,2022/6/1,上海,3年黄金会员,13.7
奔驰GLE 2016款 GLE 450 AMG 4MATIC,12.4,2017/6/1,郑州,3年黄金会员,36.5
KX CROSS 2019款 1.6L 自动灵动天窗版 国VI,6.3,2019/9/1,淄博,7年黄金会员,5.68
揽胜运动版 2014款 3.0 SC V6 HSE DYNAMIC,7.3,2015/7/1,上海,3年黑金会员,39.8
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,2.5,2021/2/1,沈阳,4年黄金会员,37.8
凯迪拉克XT5 2017款 周年庆版 25T 豪华型,10.8,2016/11/1,南宁,6年黄金会员,14.88
风景G7 2017款 2.0L长轴商运版厢货高顶6座4Q20M,6,2019/2/1,武汉,2年黄金会员,4.88
奔驰C级 2021款 C 200 L 时尚型运动版,4.5,2021/4/1,武汉,1年黑金会员,21.5
奔驰GLC 2019款 GLC 260 4MATIC 豪华型,10,2019/2/1,重庆,5年会员,26.7
宝马X5(进口) 2017款 xDrive35i M运动型,15,2017/9/1,济南,2年黄金会员,30.8
奥迪A4L 2020款 40 TFSI 时尚动感型,1.5,2021/1/1,西安,8年黑金会员,21.1
昂科威 2018款 28T 四驱精英型,8.6,2018/1/1,青岛,8年黄金会员,12.39
宝马5系 2021款 525Li M运动套装,4.8,2021/1/1,重庆,5年会员,33.5
明锐 2013款 1.6L 自动逸俊版,12,2013/2/1,重庆,5年会员,2.98
奔驰CLA 2021款 CLA 200,0.75,2022/1/1,无锡,3年黄金会员,25.7
揽胜 2020款 3.0 L6 传世加长版,4.4,2022/3/1,成都,9年黄金会员,126.8
速派 2021款 TSI330 DSG舒适版,1.5,2021/5/1,厦门,11年黄金会员,12.58
埃尔法 2020款 双擎 2.5L 豪华版,8.2,2021/1/1,长沙,11年钻石会员,81.2
奔驰E级 2020款 改款 E 300 L 时尚型,3.06,2020/7/1,襄阳,8年黄金会员,36.8
ID.4 CROZZ 2022款 长续航PRO版,1.2,2022/3/1,临沂,5年钻石会员,16.2
迈腾 2015款 1.8TSI 领先型,11.9,2016/1/1,淄博,7年黄金会员,8.68
奥迪Q7 2019款 45 TFSI 舒适型,3.3,2019/12/1,广州,13年黑金会员,39.49
宝马5系 2023款 530Li 领先型 M运动套装,0.01,2023/7/1,武汉,5年黄金会员,43.8
凌轩 2017款 1.6L 手动幸福型,5,2017/10/1,宜宾,6年黄金会员,3.58
爱丽舍 2014款 1.6L 自动舒适型,12.1,2014/4/1,宁波,5年黄金会员,1.88
路虎卫士 2023款 130 3.0T P400 HSE,0.01, ,苏州,10年会员,96.8
奥迪Q3 2021款 35 TFSI 进取致雅型,2.94,2021/4/1,无锡,4年黑金会员,17.9
宝马5系 2021款 530Li 领先型 M运动套装,5.9,2021/12/1,青岛,1年会员,36.99
宝马3系 2022款 320i 运动套装,1.3,2022/1/1,南昌,9年钻石会员,22.9
Model 3 2020款 标准续航后驱升级版,2,2020/10/1,成都,2年黄金会员,16.9
Model 3 2020款 标准续航后驱升级版,1.62,2020/10/1,成都,2年黄金会员,16.69
奥迪A6L 2017款 50 TFSI quattro 豪华型,21,2017/9/1,石家庄,10年黄金会员,22.8
雷克萨斯GX 2014款 400 尊贵版,7.8,2017/7/1,郑州,3年黄金会员,62.5
揽胜 2018款 3.0 SC V6 Vogue 传世加长版,9,2018/4/1,重庆,13年黄金会员,108.8
宝马M3 2021款 M3四门轿车 雷霆版,0.43,2021/11/1,北京,14年黑金会员,71.8
威尔法 2020款 双擎 2.5L HV尊贵版,5,2021/5/1,佛山,1年黄金会员,81.8
大众Eos 2011款 2.0TSI,9,2013/7/1,南京,1年黄金会员,7.88
奔驰GLS AMG 2017款 AMG GLS 63 4MATIC,6.8,2019/10/1,唐山,8年黄金会员,92.6
Model Y 2021款 标准续航后驱版,3.5,2021/11/1,杭州,3年黄金会员,21.08
Model 3 2020款 标准续航后驱升级版,2.25,2020/12/1,杭州,3年黄金会员,17.11
奥迪Q3 Sportback 2020款 40 TFSI 时尚型,0.32,2022/2/1,济南,11年钻石会员,22.5
奥迪A5 2023款 Coupe 40 TFSI 时尚动感型,0.51,2023/6/1,西安,8年钻石会员,31.9
自由光 2019款 2.0L 两驱典尚版 国V,8.8,2020/3/1,济南,6年黄金会员,10.5
奔驰S级 2023款 改款 S 400 L 商务型,0.01,2023/8/1,广州,1年黄金会员,89.98
福克斯 2015款 两厢 EcoBoost 125 自动超能风尚型,7,2016/8/1,成都,3年黄金会员,4.6
牧马人 2013款 3.6L Sahara 两门版,16,2014/2/1,长沙,5年黄金会员,15.98
蒙迪欧-致胜 2010款 2.3L 时尚型,9.1,2011/1/1,上海,6年钻石会员,1.98
菲翔 2012款 1.4T 自动劲享版,8.3,2014/1/1,上海,6年钻石会员,2.6
奥迪A6L 2011款 2.0 TFSI 自动标准型,15.8,2011/10/1,上海,6年钻石会员,4.5
保时捷911 2023款 Carrera 3.0T,0.6,2023/1/1,北京,8年黄金会员,129.9
宝马X3 2019款 xDrive28i M运动套装,4.76,2019/10/1,西安,5年钻石会员,27.28
奔驰E级新能源 2022款 改款 E 350 e L 插电式混合动力轿车,0.5,2022/11/1,郑州,2年会员,42.5
昕动 2016款 改款 1.6L 自动前行版,7.29,2017/10/1,合肥,4年黑金会员,4.38
宝马X1 2018款 sDrive18Li 时尚型,10.99,2018/1/1,西安,5年钻石会员,11.75
宝马7系 2011款 750Li xDrive,5.9,2011/5/1,成都,4年黄金会员,25.3
凯美瑞 2021款 2.5S 锋尚版,1.6,2022/5/1,临沂,2年黄金会员,15.98
朗逸 2013款 改款经典 1.6L 自动风尚版,14,2013/12/1,常州,10年黑金会员,3.3
Levante 2022款 2.0T GT锋芒版,0.4,2023/8/1,武汉,6年黄金会员,67.5
本田CR-V 2021款 240TURBO CVT两驱风尚版,7,2021/3/1,太原,2年黄金会员,15.88
宝马5系 2013款 530Li 豪华型,13,2013/2/1,石家庄,2年黄金会员,12.3
途昂 2022款 380TSI 四驱尊崇旗舰版,1.86,2023/2/1,石家庄,11年黄金会员,31.8
埃尔法 2023款 双擎 2.5L 臻享·黄金版,0.96,2023/3/1,郑州,11年钻石会员,109.9
宝马7系 2004款 735Li,35,2003/10/1,北京,3年黄金会员,7.88
唐新能源 2022款 EV 635KM 四驱旗舰型,0.3,2023/2/1,广州,3年黄金会员,25.38
Panamera 2016款 Panamera Executive Edition 3.0T,4,2016/12/1,上海,1年黄金会员,61.8
小鹏P5 2021款 550G,3.65,2022/3/1,北京,3年黄金会员,13.8
奔驰C级 2018款 C 200 L 运动版,2.7,2018/3/1,青岛,5年黄金会员,19.6
奔驰V级 2022款 V 260 L 长轴距豪华版,0.06, ,上海,4年黄金会员,63
沃尔沃XC60 2017款 T5 智进升级版,6.5,2018/1/1,青岛,1年会员,13.68
总裁 2011款 4.7L 全球荣誉版,1.2,2011/9/1,上海,1年黄金会员,76.5
雷克萨斯GS 2005款 430,7,2007/7/1,上海,1年黄金会员,33.8
长安CS55PLUS 2022款 第二代 1.5T DCT尊贵型,0.6,2022/3/1,长沙,2年会员,8.48
速腾 2017款 180TSI 自动臻享版,10.4,2017/10/1,临沂,2年钻石会员,6.8
揽胜 2016款 3.0 SC V6 Vogue,16,2017/4/1,济南,2年黄金会员,66.8
奥迪Q3 Sportback 2022款 45 TFSI quattro 时尚型,0.9,2022/8/1,无锡,4年黑金会员,21.6
揽胜 2014款 3.0 SC V6 Vogue,10,2016/1/1,温州,1年黄金会员,66.88
别克GL8 2021款 Avenir艾维亚 六座贤礼版,7.4,2021/7/1,北京,1年黄金会员,34.18
帕萨特 2013款 1.8TSI DSG尊荣版,13.3,2013/1/1,苏州,2年钻石会员,5.78
君越 2014款 2.0T SIDI 智享旗舰型,8,2015/11/1,苏州,1年会员,6.58
宝马X6 2022款 改款二 xDrive40i 尊享型 M运动套装,1.1,2023/3/1,郑州,11年钻石会员,76.9
奔驰GLE 2022款 GLE 350 4MATIC 时尚型,0.7,2022/9/1,昆明,6年会员,69.8
雷克萨斯LX 2017款 570 动感豪华版,10,2018/5/1,北京,11年钻石会员,132.8
飞行家 2022款 3.0T V6 四驱行政版,1.49,2022/5/1,西安,8年钻石会员,52.9
宝马X2 2021款 sDrive20i M越野套装,5.8,2020/10/1,连云港,3年会员,13.8
奔驰S级 2022款 S 450 L 4MATIC,0.5,2022/3/1,重庆,3年会员,113.8
宝马3系(进口) 2009款 325i敞篷轿跑车,13.1,2008/12/1,上海,4年钻石会员,8.89
宝马X5(进口) 2019款 xDrive30i X设计套装,8.1,2020/1/1,济南,1年黄金会员,51.8
奥迪Q7 2022款 45 TFSI quattro S line运动型,0.1,2023/1/1,济南,11年钻石会员,55.3
蓝山DHT-PHEV 2023款 四驱超长续航版,0.02,2023/8/1,郑州,6年会员,28.88
Cayenne 2007款 Cayenne 3.6L,4,2009/7/1,杭州,9年黄金会员,7.98
宝马1系(进口) 2013款 改款 118i 领先型,10,2014/1/1,济南,8年会员,7.78
宝马6系 2012款 640i双门轿跑车,11.3,2012/6/1,东莞,9年黄金会员,18.8
坦途 2014款 5.7L 1794 Edition,9.2,2017/5/1,沈阳,3年钻石会员,29.8
标致207 2011款 三厢 1.4L 手动驭乐版,9,2013/1/1,成都,7年会员,0.98
奥迪A7 2018款 35 TFSI 时尚型,8.2,2018/1/1,郑州,3年会员,24.88
宝马5系 2017款 520Li 典雅型,12,2017/7/1,无锡,4年黄金会员,18.58
奔驰GLC 2019款 改款 GLC 260 L 4MATIC 豪华型,9.5,2019/9/1,潍坊,1年黑金会员,26.68
奥迪A6L 2012款 30 FSI 技术型,16.23,2013/7/1,哈尔滨,1年黄金会员,14.2
奔驰E级(进口) 2012款 E 200 CGI Coupe,13,2013/8/1,北京,3年黄金会员,9.98
Macan 2020款 Macan 2.0T,5.1,2021/1/1,济南,13年黄金会员,46.5
宝马3系 2015款 316Li 时尚型,11.8,2015/5/1,泉州,5年黑金会员,10.8
奔驰A级AMG 2022款 AMG A 35 L 4MATIC,1.1,2022/10/1,长沙,2年钻石会员,31.8
MINI 2014款 1.5T COOPER Excitement,7.06,2015/9/1,佛山,5年黑金会员,9.9
雅阁 2018款 锐·混动 2.0L 锐领版 国VI,10.7,2020/8/1,合肥,4年黑金会员,13.98
